Replace Part BT1 120591-1 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with 120591-1 from TE_Connectivity_120591_1.SchLib
Replace Part C1 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C2 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C3 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C4 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C5 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C6 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C7 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C8 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C9 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C10 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C11 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C12 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C13 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part C14 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Part J1 PinHeader1x5 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with PinHeader1x5 from PinHeader.IntLib
Replace Part J2 PinHeader1x2 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with PinHeader1x2 from PinHeader.IntLib
Replace Part L1 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Part L2 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Part L3 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Part R1 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part R2 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part R3 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part R4 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part R5 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part R6 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Part X1 Crystal C2.0x1.6 Abracon ABM11W in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Crystal C2.0x1.6 Abracon ABM11W from Oscillator.IntLib
