Replace Symbol from BT1 120591-1 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with 120591-1 from TE_Connectivity_120591_1.SchLib
Replace Symbol from C1 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C2 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C3 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C4 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C5 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C6 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C7 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C8 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C9 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C10 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C11 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C12 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C13 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from C14 Capacitor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Capacitor from Capacitor.IntLib
Replace Symbol from J1 PinHeader1x5 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with PinHeader1x5 from PinHeader.IntLib
Replace Symbol from J2 PinHeader1x2 in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with PinHeader1x2 from PinHeader.IntLib
Replace Symbol from L1 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Symbol from L2 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Symbol from L3 Inductor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Inductor from Inductor.IntLib
Replace Symbol from R1 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from R2 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from R3 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from R4 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from R5 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from R6 Resistor in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Resistor from Resistor.IntLib
Replace Symbol from X1 Crystal C2.0x1.6 Abracon ABM11W in C:\Users\marda\OneDrive\Documents\HESSO\ELN\Eln1ProjectPCB\ELN1project.SchDoc with Crystal C2.0x1.6 Abracon ABM11W from Oscillator.IntLib
